symbol,value
€,0
Š,1
‚,2
†,3
Ž,4
’,5
Œ,6
Ž,7
ž,8
Ÿ,9
„,10
›,11
‰,12
ƒ,13
ž,14
˜,15
Ž,16
œ,17
“,18
Š,19
ˆ,20
‚,21
‡,22
˜,23
™,24
š,25
š,26
…,27
‹,28
ˆ,29
‘,30
‰,31
“,32
—,33
œ,34
•,35
—,36
‘,37
Ž,38
Ž,39
œ,40
‘,41
›,42
œ,43
†,44
œ,45
Ž,46
”,47
„,48
™,49
Š,50
™,51
š,52
€,53
˜,54
œ,55
›,56
˜,57
‡,58
Š,59
’,60
™,61
–,62
š,63
‡,64
ˆ,65
•,66
œ,67
€,68
…,69
ƒ,70
‡,71
—,72
“,73
Š,74
Ÿ,75
‹,76
•,77
›,78
ˆ,79
ƒ,80
ž,81
„,82
‚,83
„,84
‹,85
Ÿ,86
ž,87
‰,88
‘,89
‚,90
ˆ,91
‹,92
ƒ,93
Œ,94
‘,95
’,96
›,97
“,98
„,99
Ž,100
‡,101
€,102
‰,103
‚,104
…,105
ˆ,106
’,107
Š,108
‘,109
ˆ,110
“,111
†,112
œ,113
‚,114
œ,115
‚,116
˜,117
…,118
„,119
ƒ,120
˜,121
…,122
‚,123
Œ,124
—,125
Ÿ,126
œ,127
“,128
—,129
Š,130
Š,131
ž,132
€,133
Ÿ,134
‚,135
™,136
†,137
‡,138
Ÿ,139
›,140
…,141
Š,142
’,143
€,144
”,145
œ,146
Ÿ,147
‚,148
Š,149
…,150
™,151
ƒ,152
‚,153
Š,154
Ÿ,155
œ,156
˜,157
œ,158
Œ,159
‰,160
Ž,161
ˆ,162
–,163
…,164
Œ,165
Œ,166
‰,167
˜,168
‘,169
ž,170
™,171
Œ,172
ˆ,173
‘,174
Œ,175
Ÿ,176
’,177
„,178
„,179
’,180
‰,181
‘,182
›,183
œ,184
€,185
–,186
›,187
…,188
Œ,189
‡,190
–,191
›,192
•,193
”,194
™,195
˜,196
ˆ,197
Ÿ,198
Œ,199
‡,200
—,201
‚,202
˜,203
Œ,204
’,205
€,206
…,207
†,208
–,209
—,210
‡,211
Ž,212
˜,213
Ÿ,214
›,215
ˆ,216
•,217
‡,218
–,219
‚,220
Š,221
‡,222
’,223
‡,224
‚,225
–,226
‰,227
•,228
•,229
›,230
—,231
†,232
˜,233
Ž,234
’,235
Œ,236
™,237
—,238
—,239
ž,240
ˆ,241
–,242
…,243
ˆ,244
—,245
Œ,246
‚,247
Œ,248
ƒ,249
•,250
‡,251
—,252
Ž,253
‹,254
“,255
’,256
›,257
‰,258
‚,259
‹,260
•,261
‡,262
Š,263
‡,264
•,265
™,266
’,267
„,268
‘,269
Ÿ,270
›,271
‘,272
Ÿ,273
‘,274
š,275
“,276
€,277
š,278
ˆ,279
œ,280
‘,281
„,282
‘,283
Ÿ,284
ˆ,285
˜,286
›,287
†,288
Œ,289
ˆ,290
Œ,291
€,292
Œ,293
˜,294
Ÿ,295
„,296
”,297
•,298
‘,299
‚,300
Ž,301
‚,302
ƒ,303
…,304
‹,305
‰,306
Ÿ,307
’,308
‡,309
•,310
ˆ,311
ž,312
€,313
˜,314
…,315
ž,316
“,317
œ,318
›,319
‘,320
…,321
Ž,322
“,323
“,324
ˆ,325
€,326
’,327
”,328
“,329
€,330
“,331
†,332
„,333
‚,334
›,335
ž,336
œ,337
“,338
ˆ,339
‘,340
„,341
Œ,342
”,343
“,344
œ,345
›,346
ž,347
’,348
ƒ,349
ƒ,350
–,351
ž,352
†,353
œ,354
ž,355
–,356
‹,357
€,358
‘,359
˜,360
‰,361
ˆ,362
”,363
‘,364
–,365
ž,366
’,367
š,368
”,369
–,370
‡,371
œ,372
’,373
ž,374
…,375
—,376
—,377
…,378
Ÿ,379
ƒ,380
“,381
Œ,382
™,383
…,384
–,385
‰,386
–,387
š,388
‹,389
’,390
…,391
Œ,392
Œ,393
•,394
—,395
›,396
Œ,397
Œ,398
‚,399
‰,400
„,401
‘,402
š,403
…,404
‘,405
’,406
‰,407
ž,408
›,409
Ž,410
•,411
œ,412
Š,413
„,414
“,415
„,416
™,417
ž,418
Ž,419
€,420
Ž,421
™,422
‘,423
…,424
›,425
ƒ,426
Ž,427
ˆ,428
•,429
™,430
™,431
œ,432
”,433
‘,434
–,435
Š,436
‘,437
‹,438
‡,439
€,440
„,441
Œ,442
–,443
Ÿ,444
Œ,445
ƒ,446
…,447
–,448
‡,449
˜,450
›,451
Ÿ,452
‚,453
’,454
•,455
Ÿ,456
€,457
ž,458
“,459
‹,460
ˆ,461
„,462
–,463
•,464
œ,465
‚,466
„,467
›,468
‘,469
†,470
”,471
Ÿ,472
“,473
—,474
—,475
ƒ,476
™,477
“,478
Ÿ,479
‰,480
™,481
€,482
•,483
ž,484
‘,485
™,486
›,487
•,488
ˆ,489
‰,490
œ,491
”,492
…,493
‹,494
›,495
’,496
”,497
†,498
™,499
